# (1)	(2)
# kT	c
2.781954956054687500e+01	5.420200228691101074e-01
2.804511260986328125e+01	5.369649529457092285e-01
2.827067756652832031e+01	5.319423675537109375e-01
2.849624061584472656e+01	5.269532799720764160e-01
2.872180557250976562e+01	5.219989418983459473e-01
2.894736862182617188e+01	5.170801281929016113e-01
2.917293357849121094e+01	5.121979713439941406e-01
2.939849662780761719e+01	5.073534250259399414e-01
2.962405967712402344e+01	5.025470852851867676e-01
2.984962463378906250e+01	4.977794885635375977e-01
3.007518768310546875e+01	4.930514991283416748e-01
3.030075263977050781e+01	4.883636236190795898e-01
3.052631568908691406e+01	4.837163388729095459e-01
3.075188064575195312e+01	4.791100919246673584e-01
3.097744369506835938e+01	4.745452404022216797e-01
3.120300865173339844e+01	4.700220823287963867e-01
3.142857170104980469e+01	4.655408561229705811e-01
3.165413665771484375e+01	4.611019790172576904e-01
3.187969970703125000e+01	4.567052721977233887e-01
3.210526275634765625e+01	4.523512423038482666e-01
3.233082580566406250e+01	4.480398595333099365e-01
3.255639266967773438e+01	4.437709748744964600e-01
3.278195571899414062e+01	4.395450055599212646e-01
3.300751876831054688e+01	4.353617131710052490e-01
3.323308181762695312e+01	4.312210083007812500e-01
3.345864868164062500e+01	4.271228611469268799e-01
3.368421173095703125e+01	4.230673909187316895e-01
3.390977478027343750e+01	4.190542101860046387e-01
3.413533782958984375e+01	4.150833189487457275e-01
3.436090087890625000e+01	4.111545681953430176e-01
3.458646774291992188e+01	4.072677195072174072e-01
3.481203079223632812e+01	4.034226536750793457e-01
3.503759384155273438e+01	3.996190726757049561e-01
3.526315689086914062e+01	3.958566784858703613e-01
3.548872375488281250e+01	3.921352922916412354e-01
3.571428680419921875e+01	3.884548246860504150e-01
3.593984985351562500e+01	3.848148584365844727e-01
3.616541290283203125e+01	3.812150359153747559e-01
3.639097976684570312e+01	3.776550590991973877e-01
3.661654281616210938e+01	3.741347491741180420e-01
3.684210586547851562e+01	3.706537187099456787e-01
3.706766891479492188e+01	3.672117292881011963e-01
3.729323196411132812e+01	3.638083934783935547e-01
3.751879882812500000e+01	3.604432344436645508e-01
3.774436187744140625e+01	3.571160137653350830e-01
3.796992492675781250e+01	3.538265526294708252e-01
3.819548797607421875e+01	3.505743741989135742e-01
3.842105484008789062e+01	3.473590016365051270e-01
3.864661788940429688e+01	3.441801965236663818e-01
3.887218093872070312e+01	3.410376608371734619e-01
3.909774398803710938e+01	3.379309773445129395e-01
3.932330703735351562e+01	3.348595499992370605e-01
3.954887390136718750e+01	3.318233489990234375e-01
3.977443695068359375e+01	3.288217782974243164e-01
4.000000000000000000e+01	3.258546888828277588e-01
4.022556304931640625e+01	3.229215145111083984e-01
4.045112991333007812e+01	3.200218379497528076e-01
4.067669296264648438e+01	3.171555399894714355e-01
4.090225601196289062e+01	3.143220245838165283e-01
4.112781906127929688e+01	3.115210831165313721e-01
4.135338211059570312e+01	3.087521791458129883e-01
4.157894897460937500e+01	3.060150146484375000e-01
4.180451202392578125e+01	3.033092617988586426e-01
4.203007507324218750e+01	3.006345033645629883e-01
4.225563812255859375e+01	2.979904711246490479e-01
4.248120498657226562e+01	2.953766584396362305e-01
4.270676803588867188e+01	2.927927970886230469e-01
4.293233108520507812e+01	2.902384400367736816e-01
4.315789413452148438e+01	2.877134382724761963e-01
4.338346099853515625e+01	2.852171063423156738e-01
4.360902404785156250e+01	2.827494740486145020e-01
4.383458709716796875e+01	2.803099453449249268e-01
4.406015014648437500e+01	2.778981924057006836e-01
4.428571319580078125e+01	2.755139768123626709e-01
4.451128005981445312e+01	2.731567621231079102e-01
4.473684310913085938e+01	2.708265483379364014e-01
4.496240615844726562e+01	2.685226798057556152e-01
4.518796920776367188e+01	2.662448585033416748e-01
4.541353607177734375e+01	2.639929950237274170e-01
4.563909912109375000e+01	2.617665529251098633e-01
4.586466217041015625e+01	2.595652937889099121e-01
4.609022521972656250e+01	2.573888301849365234e-01
4.631578826904296875e+01	2.552369236946105957e-01
4.654135513305664062e+01	2.531092166900634766e-01
4.676691818237304688e+01	2.510053813457489014e-01
4.699248123168945312e+01	2.489252239465713501e-01
4.721804428100585938e+01	2.468683570623397827e-01
4.744361114501953125e+01	2.448344677686691284e-01
4.766917419433593750e+01	2.428232729434967041e-01
4.789473724365234375e+01	2.408345639705657959e-01
4.812030029296875000e+01	2.388679683208465576e-01
4.834586715698242188e+01	2.369230985641479492e-01
4.857143020629882812e+01	2.349999397993087769e-01
4.879699325561523438e+01	2.330980300903320312e-01
4.902255630493164062e+01	2.312171906232833862e-01
4.924811935424804688e+01	2.293570488691329956e-01
4.947368621826171875e+01	2.275174111127853394e-01
4.969924926757812500e+01	2.256979048252105713e-01
4.992481231689453125e+01	2.238984256982803345e-01
5.015037536621093750e+01	2.221186608076095581e-01
5.037594223022460938e+01	2.203582972288131714e-01
5.060150527954101562e+01	2.186170816421508789e-01
5.082706832885742188e+01	2.168949246406555176e-01
5.105263137817382812e+01	2.151914089918136597e-01
5.127819442749023438e+01	2.135063707828521729e-01
5.150376129150390625e+01	2.118395417928695679e-01
5.172932434082031250e+01	2.101907283067703247e-01
5.195488739013671875e+01	2.085596174001693726e-01
