# (1)	(2)
# kT	c
3.932330703735351562e+01	2.022489458322525024e-01
3.954887390136718750e+01	2.011523842811584473e-01
3.977443695068359375e+01	2.000676095485687256e-01
4.000000000000000000e+01	1.989943087100982666e-01
4.022556304931640625e+01	1.979322433471679688e-01
4.045112991333007812e+01	1.968813389539718628e-01
4.067669296264648438e+01	1.958413720130920410e-01
4.090225601196289062e+01	1.948121637105941772e-01
4.112781906127929688e+01	1.937936842441558838e-01
4.135338211059570312e+01	1.927856057882308960e-01
4.157894897460937500e+01	1.917878389358520508e-01
4.180451202392578125e+01	1.908002197742462158e-01
4.203007507324218750e+01	1.898225694894790649e-01
4.225563812255859375e+01	1.888547688722610474e-01
4.248120498657226562e+01	1.878966838121414185e-01
4.270676803588867188e+01	1.869481056928634644e-01
4.293233108520507812e+01	1.860090643167495728e-01
4.315789413452148438e+01	1.850792020559310913e-01
4.338346099853515625e+01	1.841585338115692139e-01
4.360902404785156250e+01	1.832468360662460327e-01
4.383458709716796875e+01	1.823440045118331909e-01
4.406015014648437500e+01	1.814500093460083008e-01
4.428571319580078125e+01	1.805645674467086792e-01
4.451128005981445312e+01	1.796875894069671631e-01
4.473684310913085938e+01	1.788190752267837524e-01
4.496240615844726562e+01	1.779588162899017334e-01
4.518796920776367188e+01	1.771066933870315552e-01
4.541353607177734375e+01	1.762625724077224731e-01
4.563909912109375000e+01	1.754264235496520996e-01
4.586466217041015625e+01	1.745980679988861084e-01
4.609022521972656250e+01	1.737775057554244995e-01
4.631578826904296875e+01	1.729643940925598145e-01
4.654135513305664062e+01	1.721588373184204102e-01
4.676691818237304688e+01	1.713606566190719604e-01
4.699248123168945312e+01	1.705698072910308838e-01
4.721804428100585938e+01	1.697861403226852417e-01
4.744361114501953125e+01	1.690095514059066772e-01
4.766917419433593750e+01	1.682399213314056396e-01
4.789473724365234375e+01	1.674773693084716797e-01
4.812030029296875000e+01	1.667214334011077881e-01
4.834586715698242188e+01	1.659723371267318726e-01
4.857143020629882812e+01	1.652298569679260254e-01
4.879699325561523438e+01	1.644939035177230835e-01
4.902255630493164062e+01	1.637644767761230469e-01
4.924811935424804688e+01	1.630413383245468140e-01
4.947368621826171875e+01	1.623245924711227417e-01
4.969924926757812500e+01	1.616139709949493408e-01
4.992481231689453125e+01	1.609096080064773560e-01
5.015037536621093750e+01	1.602111607789993286e-01
5.037594223022460938e+01	1.595187932252883911e-01
5.060150527954101562e+01	1.588323265314102173e-01
5.082706832885742188e+01	1.581517010927200317e-01
5.105263137817382812e+01	1.574768424034118652e-01
5.127819442749023438e+01	1.568075716495513916e-01
5.150376129150390625e+01	1.561439633369445801e-01
5.172932434082031250e+01	1.554859876632690430e-01
5.195488739013671875e+01	1.548333764076232910e-01
5.218045043945312500e+01	1.541862338781356812e-01
